MonthOfYear,PM1(Ug/m3),PM2.5(Ug/m3),PM10(Ug/m3),EVI,NDVI,average humidity (%),total rainfall (mm),average pressure (kPa),total radiation (W/m2),average temperature (oC),predominant winddirection,average windspeed (m/s)
09-2017,7.44,9.01,13.39,0.2133,0.3988,79.55,9.65,87.693,17835.53,21.85,E,0.7
10-2017,3.1527493261455526e+17,13.98,31.67,0.2623,0.4073,84.5,1.07,87.665,0.0,20.55,NE,0.95
11-2017,1.5763746630727763e+17,16.175,39.075,0.1736,0.3459,79.95,216.68,87.63600000000001,118238.95,22.05,E,0.69
12-2017,13.82,18.37,46.48,0.1858,0.3727,73.99,27.74,87.59200000000001,124474.15,23.17,S,0.79
01-2018,17.34,24.71,56.06,0.158,0.3301,69.63,28.44,87.58200000000001,115217.19,22.86,SE,0.9
02-2018,6.82,8.88,20.08,0.1582,0.292,71.29,53.6,87.47200000000001,110826.36,23.97,SW,0.84
03-2018,3.55,4.38,5.75,0.2205,0.3868,82.93,179.04,87.635,100497.02,21.97,NW,1.29
04-2018,1.9,2.23,3.04,0.2127,0.4173,86.77,160.92,87.69,87066.04,21.31,SW,0.88
05-2018,6.83,7.82,12.13,0.2126,0.4094,83.41,2.49,87.736,92947.27,22.06,W,0.75
06-2018,14.4,16.04,21.77,0.2412,0.4221,81.65,0.24,87.85799999999999,85422.65,21.59,SW,0.67
07-2018,18.63,20.54,25.34,0.1708,0.3315,76.15,19.95,87.87700000000001,125112.4,21.68,S,0.76
08-2018,7.76,10.64,23.0,0.1784,0.3327,58.19,86.88,87.84100000000001,112214.41,21.54,S,0.81
09-2018,4.42,5.61,7.05,0.2111,0.3676,78.7,77.94,87.65,120506.45,22.47,SE,0.82
10-2018,9.12,11.77,18.15,0.2461,0.4179,81.35,225.8,87.671,115364.43,22.18,SE,0.87
11-2018,9.8,12.76,17.52,0.2708,0.4395,79.66,161.8,87.609,120177.83,22.95,SE,0.95
12-2018,4.18,4.4,4.45,0.2652,0.4491,82.44,131.51,87.68799999999999,101651.61,22.35,SE,1.23
01-2019,11.6,15.53,21.32,0.2342,0.4068,77.2,101.89,87.655,120291.58,23.56,SE,1.87
02-2019,12.09,15.79,20.41,0.2002,0.345,72.64,83.31,87.62200000000001,133341.67,24.29,SE,1.5
03-2019,6.36,7.29,7.46,0.2376,0.3732,73.59,38.9,87.671,167422.77,23.98,S,0.66
