TimeStamp,Sensor1 PM2.5_CF_1_ug/m3,Sensor1 PM10_CF_1_ug/m3,Sensor2PM2.5_CF_1_ug/m3,Sensor2 PM10_CF_1_ug/m3,Sensor1 and Sensor2 Average PM2.5_CF_1_ug/m3 ,Sensor1 and Sensor2 Average_PM10_CF_1_ug/m3
2019-03-12,32.78,38.53,33.96,40.59,33.37,39.56
2019-03-13,27.13,31.09,28.42,33.24,27.77,32.16
2019-03-14,28.95,32.89,29.99,35.06,29.47,33.97
2019-03-15,24.03,26.98,25.51,29.51,24.77,28.25
2019-03-16,56.28,64.03,57.51,66.59,56.89,65.31
2019-03-17,50.13,57.93,50.81,59.76,50.47,58.85
2019-03-18,33.7,38.93,34.77,41.12,34.24,40.03
2019-03-19,39.85,46.06,40.79,48.05,40.32,47.06
2019-03-20,40.26,45.53,41.42,47.77,40.84,46.65
2019-03-21,37.59,43.3,38.57,45.29,38.08,44.3
2019-03-22,28.87,32.0,30.51,34.56,29.69,33.28
2019-03-23,49.44,54.33,50.96,57.05,50.2,55.69
2019-03-24,63.79,69.37,65.19,72.25,64.49,70.81
2019-03-25,45.17,50.4,46.3,52.78,45.74,51.59
2019-03-26,38.97,45.25,40.08,47.46,39.53,46.36
2019-03-27,61.83,67.98,62.79,70.07,62.31,69.03
2019-03-28,38.75,45.1,39.41,46.69,39.08,45.9
2019-03-29,34.63,40.36,35.9,42.38,35.26,41.37
2019-03-30,34.3,39.18,35.8,41.69,35.05,40.44
2019-03-31,19.51,21.2,21.47,23.89,20.49,22.55
2019-04-01,25.54,28.45,27.36,31.1,26.45,29.77
2019-04-02,21.95,24.24,23.79,26.79,22.87,25.52
2019-04-03,36.11,41.53,37.47,43.8,36.79,42.67
2019-04-04,25.45,27.92,27.38,30.7,26.41,29.31
2019-04-05,26.27,29.68,27.99,32.27,27.13,30.98
2019-04-06,28.16,32.09,29.78,34.64,28.97,33.37
2019-04-07,,,,,,
2019-04-08,35.65,40.74,37.08,43.3,36.37,42.02
2019-04-09,30.11,33.63,31.84,36.11,30.97,34.87
2019-04-10,39.23,44.57,40.71,46.72,39.97,45.65
2019-04-11,31.93,36.32,33.71,38.63,32.82,37.48
2019-04-12,19.29,20.88,21.37,23.62,20.33,22.25
2019-04-13,25.26,28.11,26.92,30.47,26.09,29.29
2019-04-14,28.6,31.79,30.12,34.25,29.36,33.02
2019-04-15,,,,,,
2019-04-16,22.65,23.88,24.33,26.49,23.49,25.19
2019-04-17,54.03,59.14,55.48,61.75,54.76,60.44
2019-04-18,53.39,58.21,55.75,61.77,54.57,59.99
2019-04-19,31.01,35.77,32.45,38.21,31.73,36.99
2019-04-20,33.58,37.3,34.83,39.46,34.21,38.38
2019-04-21,18.5,20.67,20.44,23.04,19.47,21.85
2019-04-22,14.79,15.82,16.77,18.26,15.78,17.04
2019-04-23,5.72,5.9,7.97,8.34,6.84,7.12
2019-04-24,16.41,17.92,16.76,18.74,16.59,18.33
2019-04-25,27.46,30.3,27.98,31.78,27.72,31.04
2019-04-26,13.71,14.42,13.77,14.85,13.74,14.64
2019-04-27,10.9,11.7,10.78,11.89,10.84,11.79
2019-04-28,15.9,16.93,16.27,17.82,16.08,17.38
2019-04-29,14.09,14.73,14.32,15.35,14.2,15.04
2019-04-30,16.72,17.93,17.15,18.85,16.94,18.39
2019-05-01,26.88,30.91,27.52,32.26,27.2,31.58
2019-05-02,14.23,14.77,14.12,15.11,14.18,14.94
2019-05-03,,,,,,
2019-05-04,21.16,22.48,21.77,23.73,21.46,23.11
2019-05-05,10.95,11.51,11.31,12.26,11.13,11.89
2019-05-06,10.12,10.84,10.34,11.43,10.23,11.14
2019-05-07,11.92,12.64,11.88,12.94,11.9,12.79
2019-05-08,15.08,15.97,15.13,16.4,15.1,16.18
2019-05-09,26.65,30.38,27.33,31.62,26.99,31.0
2019-05-10,23.71,26.76,24.33,28.1,24.02,27.43
2019-05-11,22.88,25.64,23.28,26.74,23.08,26.19
2019-05-12,15.98,16.91,16.06,17.46,16.02,17.18
2019-05-13,16.71,17.81,16.87,18.44,16.79,18.12
2019-05-14,20.08,22.56,20.54,23.65,20.31,23.11
2019-05-15,19.85,21.78,20.28,22.74,20.06,22.26
