date,PM2.5,PM10
2019-03-01,76.18,85.57
2019-03-02,63.03,71.29
2019-03-03,44.99,53.41
2019-03-04,41.95,49.39
2019-03-05,43.75,50.6
2019-03-06,49.01,55.23
2019-03-07,50,55.07
2019-03-08,79.7,87.81
2019-03-09,75.14,82.37
2019-03-10,33.17,38.21
2019-03-11,45.81,52.63
2019-03-12,53.86,61.1
2019-03-13,35.8,42.1
2019-03-14,44.01,49.92
2019-03-15,38.38,44.57
2019-03-16,51.06,58.76
2019-03-17,51.52,60.96
2019-03-18,44.97,52.81
2019-03-19,50.89,58.54
2019-03-20,51.01,58.29
2019-03-21,54.45,62.57
2019-03-22,43.23,49.82
2019-03-23,56.08,62.92
2019-03-24,60.56,67.33
2019-03-25,58.48,65.67
2019-03-26,46.02,53.4
2019-03-27,65.61,74.12
2019-03-28,44.73,50.87
2019-03-29,43.6,50.47
2019-03-30,45.62,51.35
2019-03-31,28.29,31.71
2019-04-03,71.39,81.32
2019-04-04,56.13,64.11
2019-04-05,43.59,50.23
2019-04-06,41.77,48.55
2019-04-07,42.48,48.7
2019-04-08,50.27,57.78
2019-04-09,48.88,55.18
2019-04-10,48.56,55.54
2019-04-11,47.17,53.59
2019-04-12,31.28,35.38
2019-04-13,32.95,37.67
2019-04-14,37.69,43.8
2019-04-15,48.37,53.67
2019-04-16,39.51,44.97
2019-04-17,51.86,57.62
2019-04-18,67.44,74.2
2019-04-19,48.12,55.43
2019-04-20,37.95,43.51
2019-04-21,26.24,29.58
2019-04-22,18.96,21.04
2019-04-23,20.87,23.08
2019-04-24,33.57,36.96
2019-04-25,41.3,48.03
2019-04-26,28.12,31.87
2019-04-27,25.22,28.28
2019-04-28,32.85,37.26
2019-04-29,38.45,43.86
2019-04-30,30.82,34.92
2019-05-01,36.53,42.42
2019-05-02,47.97,55.34
2019-05-03,55.52,62.69
2019-05-05,32.2,36.82
2019-05-06,28.36,32.25
2019-05-07,30.47,34.59
2019-05-08,30.34,33.96
2019-05-09,51.14,56.12
2019-05-10,36.8,41.72
2019-05-11,37.08,42.48
2019-05-12,25.72,28.31
2019-05-13,32.65,36.88
2019-05-14,34.11,38.76
2019-05-15,34.7,39.36
2019-05-16,38.21,43.89
2019-05-17,35.16,39.96
2019-05-18,30.19,34.5
2019-05-19,31.85,36.14
2019-05-20,32.1,36.53
2019-05-21,32.54,37.34
2019-05-22,36.69,42.41
2019-05-23,29.49,33.27
2019-05-24,39.46,45.29
2019-05-25,37.21,43.5
2019-05-26,28.5,32.61
2019-05-27,35.63,39.91
2019-05-28,42.14,47.42
2019-05-29,48.57,55.94
2019-05-30,41.57,48.01
2019-05-31,47.6,54.64
